station_seqnum,Stations_id,elevation,latitude,longitude,Stationsname,who_entered,source_seqnum,country_seqnum,use_rank
1410112,118,388,49.4053,12.2852,Altendorf,7,117,203,1
1410113,119,7,54.2756,12.7514,Altenhagen-Starkow,7,117,203,1
1410114,120,50,52.9136,13.7118,Altenhof,7,117,203,1
1410115,121,218,50.6654,7.5765,Neitersen,7,117,203,1
1410116,122,61,53.1471,10.6195,Altenmedingen-Eddelstorf,7,117,203,1
1410117,123,470,49.7667,12.0833,Altenparkstein,7,117,203,1
1410118,124,265,51.2388,11.577,"Bibra, Bad-Altenroda",7,117,203,1
1410119,127,594,48.6171,8.6501,Altensteig-Wart,7,117,203,1
1410120,128,446,49.0844,12.3232,Altenthann-Forstmühle,7,117,203,1
1410121,129,30,53.6893,13.242,Altentreptow,7,117,203,1
1410122,130,301,49.7284,9.7692,Altertheim-Oberaltertheim,7,117,203,1
1410123,131,296,51.0881,12.9326,Geringswalde-Altgeringswalde,7,117,203,1
1410124,132,750,49.7725,12.3891,Altglashütte,7,117,203,1
1410125,133,530,48.7359,8.7493,Althengstett-Ottenbronn,7,117,203,1
1410126,134,785,49.3333,12.7667,Althütte bei Waldmünchen,7,117,203,1
1410127,135,232,50.9333,12.35,Altkirchen,7,117,203,1
1410128,137,825,49.1762,13.1315,Altlohberghütte,7,117,203,1
1410129,138,430,48.8821,11.7114,Altmannstein-Laimerstadt,7,117,203,1
1410130,139,530,48.9437,11.5694,Altmannstein-Pondorf,7,117,203,1
1410131,140,35,52.6861,11.4272,Altmersleben,7,117,203,1
1410132,141,207,50.9932,12.5731,Altmörbitz/Wyhra,7,117,203,1
1410133,142,511,48.406,11.3117,Altomünster-Maisbrunn,7,117,203,1
1410134,143,505,48.4012,11.1984,Altomünster-Wollomoos,7,117,203,1
1410135,144,6,52.7642,14.1664,Altreetz,7,117,203,1
1410136,145,643,47.7986,10.2539,Altusried-Krugzell,7,117,203,1
1410137,146,730,47.7922,10.0988,Altusried-Muthmannshofen,7,117,203,1
1410138,147,9,53.7171,13.8351,Altwigshagen,7,117,203,1
1410139,148,33,53.8,9.9,Alveslohe,7,117,203,1
1410140,149,111,50.0888,9.0598,Alzenau,7,117,203,1
1410141,150,215,49.7273,8.1164,Alzey,7,117,203,1
1410142,151,382,49.4691,11.8546,Amberg-Unterammersricht,7,117,203,1
1410143,152,57,53.1268,10.2184,Amelinghausen,7,117,203,1
1410144,153,530,48.0027,12.3132,Amerang-Kammer,7,117,203,1
1410145,154,516,48.0197,12.2925,Amerang-Pfaffing,7,117,203,1
1410146,155,492,48.7257,10.4915,Amerdingen,7,117,203,1
1410147,156,96,51.777,11.5744,Amesdorf-Warmsdorf,7,117,203,1
1410148,158,210,50.784,8.9545,Amöneburg-Rüdigheim,7,117,203,1
1410149,159,181,49.6403,9.2295,Amorbach,7,117,203,1
1410150,160,682,47.9636,11.1778,Andechs-Erling,7,117,203,1
1410151,161,75,50.4237,7.4202,Andernach,7,117,203,1
1410152,162,690,47.8013,12.8984,Anger-Oberhögl,7,117,203,1
1410153,163,828,47.803,12.8193,Anger-Stoißberg,7,117,203,1
1410154,164,54,53.0316,13.9908,Angermünde,7,117,203,1
1410155,165,50,52.3611,11.7346,Angern,7,117,203,1
1410156,166,108,51.4667,11.9,Angersdorf,7,117,203,1
1410157,167,11,53.8409,13.6854,Anklam,7,117,203,1
1410158,168,62,52.5461,7.8763,Ankum,7,117,203,1
1410159,169,630,50.573,13.0053,Annaberg-Buchholz,7,117,203,1
1410160,170,76,51.7309,13.0546,Annaburg,7,117,203,1
1410161,172,395,52.2486,9.5056,Annaturm,7,117,203,1
1410162,173,174,49.2133,7.9799,Annweiler,7,117,203,1
1410163,174,250,49.1886,7.9766,Annweiler-Bindersbach,7,117,203,1
1410164,175,413,49.2964,10.5751,Ansbach,7,117,203,1
1410165,176,481,49.2475,10.5826,Ansbach-Claffheim,7,117,203,1
1410166,177,418,49.3158,10.5815,Ansbach-Hennenbach,7,117,203,1
1410167,178,418,49.2993,10.5354,Ansbach-Schalkhausen,7,117,203,1
1410168,179,664,47.8963,10.932,Apfeldorf,7,117,203,1
1410169,180,205,51.0306,11.505,Apolda,7,117,203,1
1410170,182,33,52.8682,11.44,Arendsee-Kläden,7,117,203,1
1410171,183,42,54.6791,13.4344,Arkona,7,117,203,1
1410172,184,55,52.6769,12.0077,Arneburg,7,117,203,1
1410173,185,3,54.6289,9.9294,Arnis,7,117,203,1
1410174,186,218,51.3773,8.0713,Arnsberg,7,117,203,1
1410175,187,265,51.4188,7.9126,Arnsberg-Holzen,7,117,203,1
1410176,188,267,50.85,10.9667,Arnstadt,7,117,203,1
1410177,189,265,50.027,9.9771,Arnstein-Altbessingen,7,117,203,1
1410178,190,202,49.9745,9.9332,Arnstein-Marbach,7,117,203,1
1410179,191,217,49.9694,9.9114,Arnstein-Müdesheim,7,117,203,1
1410180,192,385,48.5565,12.8126,Arnstorf,7,117,203,1
1410181,193,232,51.3845,9.082,Arolsen-Neu Berich,7,117,203,1
1410182,194,265,51.3431,9.0763,"Arolsen-Landau, Bad",7,117,203,1
1410183,196,248,51.4256,9.0236,Arolsen-Schmillinghausen,7,117,203,1
1410184,198,164,51.3744,11.292,Artern,7,117,203,1
1410185,199,6,53.3752,10.4795,Artlenburg,7,117,203,1
1410186,200,517,50.085,6.3161,Lauperath-Scheidchen,7,117,203,1
1410187,201,255,50.6661,7.4459,Asbach,7,117,203,1
1410188,202,111,49.9771,9.1091,Aschaffenburg,7,117,203,1
1410189,203,607,47.786,12.3368,Aschau-Innerkoy,7,117,203,1
1410190,204,731,47.7002,12.2731,Aschau-Sachrang,7,117,203,1
1410191,205,681,47.7275,12.2982,Aschau-Stein,7,117,203,1
1410192,206,3,53.05,7.3333,Aschendorf,7,117,203,1
1410193,207,105,51.7498,11.4667,Aschersleben,7,117,203,1
1410194,208,100,51.4887,11.6679,Aseleben,7,117,203,1
1410195,209,318,48.9957,9.3933,Aspach-Allmersbach am Weinberg,7,117,203,1
1410196,211,200,50.58,8.4685,Aßlar Klein-Altenstädten,7,117,203,1
1410197,213,170,51.9375,10.9897,Sargstedt,7,117,203,1
1410198,214,307,51.1212,7.9108,Attendorn,7,117,203,1
1410199,215,340,51.0998,7.8352,Attendorn (Listertalsperre),7,117,203,1
1410200,216,298,51.1143,7.8807,Attendorn-Neulisternohl,7,117,203,1
1410201,217,670,47.8774,11.3643,Attenkam,7,117,203,1
1410202,218,83,51.9166,11.602,Staßfurt-Atzendorf,7,117,203,1
1410203,219,77,51.9167,11.5667,Atzendorf (Marbeschacht),7,117,203,1
1410204,220,109,48.9501,8.2324,Au am Rhein,7,117,203,1
1410205,221,483,48.5515,11.7117,Au i.d.Hallertau-Günzenhausen,7,117,203,1
1410206,222,393,50.5908,12.7139,Aue,7,117,203,1
1410207,223,419,49.7007,11.6235,Auerbach/Oberpfalz,7,117,203,1
1410208,224,1045,47.7333,10.7333,Auerberg,7,117,203,1
1410209,225,150,51.1,11.5833,Auerstedt,7,117,203,1
1410210,226,480,48.306,11.8586,Aufkirchen,7,117,203,1
1410211,227,432,49.8823,11.2656,Aufseß-Hochstahl,7,117,203,1
1410212,228,486,48.3474,10.9351,Augsburg (Hochablaß),7,117,203,1
1410213,229,470,48.4,10.9,Augsburg (Kläranlage),7,117,203,1
1410214,230,479,48.3667,10.9167,Augsburg (Schlachthof),7,117,203,1
1410215,231,490,48.3723,10.8948,Augsburg (Sankt Stephan),7,117,203,1
1410216,232,462,48.4253,10.9417,Augsburg,7,117,203,1
1410217,234,190,51.6001,11.5689,Augsdorf,7,117,203,1
1410218,235,163,51.8905,8.7323,Augustdorf,7,117,203,1
1410219,236,153,49.0048,8.4932,Augustenberg,7,117,203,1
1410220,237,451,50.8124,13.1033,Augustusburg,7,117,203,1
1410221,240,293,50.1805,9.5743,Aura im Sinngrund,7,117,203,1
1410222,242,510,49.2331,10.3635,Aurach-Weinberg,7,117,203,1
1410223,243,4,53.4621,7.467,Aurich,7,117,203,1
1410224,244,10,53.5392,7.5159,Aurich-Dietrichsfeld,7,117,203,1
1410225,245,8,53.4551,7.5756,Aurich-Wiesens,7,117,203,1
1410226,246,73,51.7015,12.8909,Axien,7,117,203,1
1410227,247,641,47.9422,11.8103,Aying-Kleinhelfendorf,7,117,203,1
1410228,248,67,51.7634,11.8007,Baalberge,7,117,203,1
1410229,249,122,49.9708,8.9862,Babenhausen-Harreshausen,7,117,203,1
1410230,250,131,49.9506,8.8898,Babenhausen-Hergershausen,7,117,203,1
1410231,251,640,47.9833,9.4333,Bachhaupten,7,117,203,1
1410232,252,291,48.9546,9.4336,Backnang,7,117,203,1
1410233,255,30,52.6346,7.9788,Badbergen,7,117,203,1
1410234,256,103,52.1039,10.1938,Baddeckenstedt-Wartjensstedt,7,117,203,1
1410235,257,240,48.727,8.2457,Baden-Baden-Geroldsau,7,117,203,1
1410236,259,275,47.8064,7.6387,Müllheim,7,117,203,1
1410237,260,153,51.9861,10.8934,Badersleben,7,117,203,1
1410238,262,607,49.7983,12.4288,Bärnau-Naab,7,117,203,1
1410239,264,114,51.5793,14.1285,Bahnsdorf,7,117,203,1
1410240,266,87,51.9978,11.5639,Bahrendorf,7,117,203,1
1410241,267,460,48.4158,12.206,Baierbach,7,117,203,1
1410242,268,622,48.5293,8.2727,Baiersbronn-Obertal,7,117,203,1
1410243,269,599,48.5116,8.3176,Baiersbronn-Mitteltal,7,117,203,1
1410244,270,560,48.5699,8.4058,Baiersbronn-Schönegründ,7,117,203,1
1410245,271,548,48.5879,8.3185,Baiersbronn-Zwickgabel,7,117,203,1
1410246,272,285,49.6583,11.0609,Baiersdorf-Hagenau,7,117,203,1
1410247,273,467,47.8413,9.6606,Baindt,7,117,203,1
1410248,274,160,52.2167,9.55,Bakede,7,117,203,1
1410249,275,1039,47.465,10.1043,Balderschwang,7,117,203,1
1410250,276,110,51.2073,11.7302,Balgstädt,7,117,203,1
1410251,277,573,48.2772,8.883,Balingen-Heselwangen,7,117,203,1
1410252,278,213,51.7206,11.2478,Ballenstedt,7,117,203,1
1410253,279,457,48.7574,9.4514,Baltmannsweiler-Hohengehren,7,117,203,1
1410254,280,244,49.8667,10.9333,Bamberg (am Tännig),7,117,203,1
1410255,281,253,49.9167,10.9333,Bamberg (Greiff-Werke),7,117,203,1
1410256,282,240,49.8743,10.9206,Bamberg,7,117,203,1
1410257,283,382,49.8808,10.8695,Bamberg-Altenburg,7,117,203,1
1410258,284,282,49.88,10.88,Bamberg (Sternwarte),7,117,203,1
1410259,285,131,49.36,8.7829,Bammental,7,117,203,1
1410260,287,53,51.961,11.9159,Walternienburg-Ronney,7,117,203,1
1410261,288,3,53.8409,13.7549,Bargischow-Gnevezin,7,117,203,1
1410262,289,47,53.7275,10.2514,Bargteheide,7,117,203,1
1410263,290,140,52.1175,11.0789,Hötensleben-Barneberg,7,117,203,1
1410264,291,42,53.5968,11.6952,Barnin,7,117,203,1
1410265,292,37,52.6965,8.487,Barnstorf,7,117,203,1
1410266,293,114,52.2992,9.4675,Barsinghausen,7,117,203,1
1410267,294,110,52.3199,9.43,Barsinghausen-Hohenbostel,7,117,203,1
1410268,295,68,52.3461,9.5192,Barsinghausen-Stemmen,7,117,203,1
1410269,296,3,53.1665,7.7966,Barßel-Loher Ostmark,7,117,203,1
1410270,297,22,54.0809,11.9792,Bartenshagen-Parkentin,7,117,203,1
1410271,298,3,54.3405,12.7108,Barth,7,117,203,1
1410272,301,659,48.7584,9.9855,Bartholomä,7,117,203,1
1410273,303,55,52.0613,13.4997,Baruth,7,117,203,1
1410274,304,27,53.4307,8.9545,Basdahl-Volkmarst,7,117,203,1
1410275,306,170,50.3574,7.4639,Bassenheim,7,117,203,1
1410276,308,312,50.4113,10.1782,Bastheim-Simonshof,7,117,203,1
1410277,309,328,51.0028,8.6693,Battenberg-Berghofen,7,117,203,1
1410278,310,590,51.0662,8.5375,Battenberg-Hof Karlsburg,7,117,203,1
1410279,311,366,48.7,11.5333,Baumannshof,7,117,203,1
1410280,312,50,53.8149,11.8818,Baumgarten,7,117,203,1
1410281,313,468,49.6186,7.3348,Baumholder,7,117,203,1
1410282,314,234,51.1604,14.5042,"Kubschütz, Kr. Bautzen",7,117,203,1
1410283,315,435,48.6865,12.2893,Bayerbach-Hölskofen,7,117,203,1
1410284,316,310,49.6957,7.8387,Bayerfeld-Steckweiler -Schmalfelderhof,7,117,203,1
1410285,317,710,49.1198,13.1987,Bayerisch Eisenstein,7,117,203,1
1410286,318,811,47.6921,10.9954,"Bayersoien, Bad",7,117,203,1
1410287,319,753,47.9209,10.5024,Eggenthal-Grub,7,117,203,1
1410288,320,350,49.9666,11.5198,Heinersreuth-Vollhof,7,117,203,1
1410289,321,789,47.6797,12.0017,Bayrischzell,7,117,203,1
1410290,322,255,50.9798,9.8657,Bebra-Iba,7,117,203,1
1410291,323,425,49.1626,10.5918,Bechhofen/Voggendorf,7,117,203,1
1410292,324,252,49.4125,6.764,Beckingen-Düppenweiler,7,117,203,1
1410293,325,127,51.7948,8.0718,Beckum-Vellern,7,117,203,1
1410294,326,120,51.7204,8.0577,Beckum-Unterberg,7,117,203,1
1410295,327,27,53.6234,8.8323,Bederkesa,7,117,203,1
1410296,328,39,52.2372,12.9775,Beelitz,7,117,203,1
1410297,329,64,52.4303,14.0443,Beerfelde,7,117,203,1
1410298,330,455,49.5617,8.9673,Oberzent-Beerfelden,7,117,203,1
1410299,331,360,49.5883,8.9254,Beerfelden-Airlenbach,7,117,203,1
1410300,332,68,51.7073,11.6966,Beesenlaublingen,7,117,203,1
1410301,333,44,52.1864,14.2361,Beeskow,7,117,203,1
1410302,334,40,52.708,11.0936,Beetzendorf,7,117,203,1
1410303,335,4,54.3426,10.6018,Behrensdorf,7,117,203,1
1410304,336,290,51.0221,10.5148,Hörselberg-Hainich-Behringen,7,117,203,1
1410305,337,370,49.0334,11.4622,Beilngries,7,117,203,1
1410306,338,120,51.4787,13.1183,Belgern,7,117,203,1
1410307,339,141,51.2129,12.5623,Belgershain-Rohrbach,7,117,203,1
1410308,340,120,51.6948,11.6399,Belleben-Haus Zeitz,7,117,203,1
1410309,341,235,47.7277,7.552,"Bellingen, Bad",7,117,203,1
1410310,342,103,52.317,8.1694,Belm,7,117,203,1
1410311,343,310,50.5269,10.4956,Belrieth,7,117,203,1
1410312,344,135,52.3419,11.1514,Belsdorf bei Behnsdorf,7,117,203,1
1410313,345,80,52.1433,12.5981,"Belzig, Bad",7,117,203,1
1410314,346,193,51.3765,11.0092,Bendeleben,7,117,203,1
1410315,347,73,50.4199,7.5656,Bendorf (A),7,117,203,1
1410316,348,127,50.4135,7.5886,Bendorf,7,117,203,1
1410317,349,635,47.7064,11.4137,Benediktbeuern,7,117,203,1
1410318,351,502,51.6926,10.6978,Oberharz am Brocken-Sorge,7,117,203,1
1410319,352,85,52.2333,9.6667,Bennigsen,7,117,203,1
1410320,353,32,52.4067,12.3726,Bensdorf-Woltersdorf,7,117,203,1
1410321,354,458,50.646,10.5896,Zella-Mehlis-Benshausen,7,117,203,1
1410322,355,140,49.6789,8.6276,Bensheim,7,117,203,1
1410323,356,78,52.3361,9.6288,Benthe,7,117,203,1
1410324,357,50,52.3018,7.1301,"Bentheim, Bad",7,117,203,1
1410325,358,13,53.0491,8.133,Benthullen,7,117,203,1
1410326,359,464,49.1022,11.796,Beratzhausen,7,117,203,1
1410327,360,403,49.1116,11.4329,Berching,7,117,203,1
1410328,361,550,47.6344,13.0109,Berchtesgaden (KKst),7,117,203,1
1410329,363,930,47.6327,13.0503,Berchtesgaden-Obersalzberg,7,117,203,1
1410330,364,716,47.6525,13.056,Berchtesgaden-Oberau,7,117,203,1
1410331,365,421,49.3311,11.4303,Berg/Oberpfalz,7,117,203,1
1410332,366,265,50.7524,12.1673,Berga/Elster,7,117,203,1
1410333,369,76,52.8333,9.9833,"Bergen-Nindorf, Kreis Celle",7,117,203,1
1410334,371,82,54.4215,13.4379,Bergen/Rügen,7,117,203,1
1410335,372,67,50.9552,7.1018,Bergisch Gladbach -Refrath,7,117,203,1
1410336,374,402,48.8498,9.4881,Berglen-Birkenweißbuch,7,117,203,1
1410337,375,375,51.0023,7.6711,Bergneustadt-Hüngringhausen,7,117,203,1
1410338,376,270,49.8981,10.0653,Bergtheim,7,117,203,1
1410339,377,210,49.107,7.9967,"Bergzabern, Bad",7,117,203,1
1410340,378,134,51.6842,10.1078,Berka,7,117,203,1
1410341,379,304,50.9075,11.2665,"Berka, Bad (Flugplatz)",7,117,203,1
1410342,381,287,50.8988,11.2739,"Berka, Bad",7,117,203,1
1410343,382,225,50.9405,10.0746,Berka/Werra,7,117,203,1
1410344,383,318,51.2373,9.8899,Berkatal-Frankenhain,7,117,203,1
1410345,384,570,48.0409,10.0808,Berkheim,7,117,203,1
1410346,385,35,52.6,9.7667,Berkhof,7,117,203,1
1410347,386,445,51.0454,8.3851,"Berleburg, Bad",7,117,203,1
1410348,387,470,51.0667,8.3833,"Berleburg, Bad (Alte Warte)",7,117,203,1
1410349,388,510,51.1201,8.454,"Berleburg, Bad-Girkhausen",7,117,203,1
1410350,389,436,51.0148,8.4318,"Berleburg, Bad-Arfeld",7,117,203,1
1410351,390,610,50.9837,8.3683,"Berleburg, Bad-Stünzel",7,117,203,1
1410352,391,450,51.0698,8.2888,"Berleburg, Bad-Wingeshausen",7,117,203,1
1410353,392,543,51.0948,8.5148,"Berleburg, Bad-Wunderthausen",7,117,203,1
1410354,394,43,52.5903,13.3833,Berlin (Rosenthal),7,117,203,1
1410355,399,36,52.5198,13.4057,Berlin-Alexanderplatz,7,117,203,1
1410356,400,60,52.631,13.5021,Berlin-Buch,7,117,203,1
1410357,401,55,52.5167,13.2667,Berlin-Charlottenburg,7,117,203,1
1410358,402,55,52.4564,13.2997,Berlin-Dahlem (LFAG),7,117,203,1
1410359,403,51,52.4537,13.3017,Berlin-Dahlem (FU),7,117,203,1
1410360,404,38,52.5047,13.5215,Berlin-Friedrichsfelde,7,117,203,1
1410361,406,33,52.5167,13.4167,Berlin-Friedrichshain,7,117,203,1
1410362,407,48,52.6461,13.2858,Berlin-Frohnau,7,117,203,1
1410363,409,35,52.45,13.5,Berlin-Johannisthal,7,117,203,1
1410364,410,33,52.404,13.7309,Berlin-Kaniswall,7,117,203,1
1410365,412,35,52.4833,13.5167,Berlin-Karlshorst,7,117,203,1
1410366,413,39,52.5044,13.5799,Berlin-Kaulsdorf,7,117,203,1
1410367,414,36,52.4753,13.5899,Berlin-Köpenick,7,117,203,1
1410368,416,47,52.4069,13.4127,Berlin-Lichtenrade,7,117,203,1
1410369,417,43,52.4144,13.3036,Berlin-Lichterfelde (Süd),7,117,203,1
1410370,418,45,52.4089,13.3316,Berlin-Lichterfelde Ost,7,117,203,1
1410371,419,53,52.5753,13.4832,Berlin-Malchow,7,117,203,1
1410372,420,61,52.5447,13.5598,Berlin-Marzahn,7,117,203,1
1410373,421,52,52.5333,13.55,"Berlin-Marzahn, Apw",7,117,203,1
1410374,422,35,52.5333,13.3833,Berlin-Mitte,7,117,203,1
1410375,425,38,52.4044,13.4838,Berlin-Rudow,7,117,203,1
1410376,426,36,52.3823,13.6236,Berlin-Schmöckwitz,7,117,203,1
1410377,427,46,52.3807,13.5306,Berlin Brandenburg,7,117,203,1
1410378,429,32,52.5667,13.1694,Berlin-Spandau,7,117,203,1
1410379,430,36,52.5644,13.3088,Berlin-Tegel,7,117,203,1
1410380,432,36,52.6044,13.2952,Berlin-Tegeler Fliesstal,7,117,203,1
1410381,433,48,52.4676,13.402,Berlin-Tempelhof,7,117,203,1
1410382,434,35,52.4553,13.4699,Berlin-Treptow,7,117,203,1
1410383,435,45,52.4289,13.2327,Berlin-Zehlendorf,7,117,203,1
1410384,436,75,53.216,12.5815,Berlinchen,7,117,203,1
